,SUBDIVISION,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
0,andhra pradesh,1915,21.1,17.9,53.3,44.8,63.5,177.3,134.8,226.5,170.5,228.8,208.8,0.0,1347.4,39.0,161.7,709.1,437.7
1,assam,1915,9.3,58.9,74.4,201.9,662.9,509.1,738.2,529.1,258.8,108.2,10.0,4.4,3165.1,68.2,939.2,2035.1,122.6
2,west bengal,1915,8.2,57.1,22.5,6.4,72.5,149.1,321.3,415.0,185.1,75.3,36.7,0.3,1349.4,65.3,101.4,1070.4,112.4
3,chhattisgarh,1915,25.0,42.4,19.7,16.6,21.2,131.3,364.6,435.9,251.0,121.0,27.2,0.0,1455.9,67.4,57.6,1182.7,148.2
4,delhi,1915,30.7,49.1,40.9,7.1,8.0,39.9,66.9,69.9,101.7,6.4,0.0,1.8,422.4,79.9,55.9,278.4,8.2
5,goa,1915,0.0,4.7,5.9,10.2,7.7,845.1,734.4,355.1,412.2,137.4,12.8,0.3,2525.8,4.8,23.8,2346.7,150.5
6,gujarat,1915,7.5,1.9,12.1,1.6,2.3,128.7,128.9,116.3,52.7,112.3,2.8,0.2,567.3,9.4,16.0,426.6,115.3
7,haryana,1915,30.7,49.1,40.9,7.1,8.0,39.9,66.9,69.9,101.7,6.4,0.0,1.8,422.4,79.9,55.9,278.4,8.2
8,himachal pradesh,1915,62.2,100.4,90.0,66.6,19.4,67.5,249.0,380.6,157.7,23.4,0.0,20.0,1236.8,162.6,176.0,854.8,43.4
9,jammu & kashmir,1915,47.4,218.3,109.7,132.3,18.2,54.4,87.7,174.6,71.7,27.6,0.0,21.9,963.9,265.8,260.2,388.4,49.5
10,jharkhand,1915,7.7,36.7,33.4,10.7,58.6,149.7,270.2,220.5,214.7,60.0,39.9,0.1,1102.3,44.4,102.7,855.1,100.0
11,karnataka,1915,12.1,2.43,19.73,41.7,60.67,371.7,369.17,174.13,220.87,121.43,77.63,6.4,1477.97,14.53,122.1,1135.83,205.47
12,kerala,1915,16.9,23.5,42.7,106.0,154.5,696.1,775.6,298.8,396.6,196.6,302.5,14.9,3024.5,40.4,303.1,2167.0,514.0
13,madhya pradesh,1915,12.85,30.6,43.45,6.85,8.5,151.2,278.7,315.7,124.9,95.85,5.25,3.7,1077.5,43.45,58.8,870.55,104.75
14,maharashtra,1915,8.6,6.6,13.9,21.9,12.1,195.2,225.4,80.0,228.5,76.8,20.9,18.0,908.1,15.3,48.0,729.1,115.7
15,meghalaya,1915,9.3,58.9,74.4,201.9,662.9,509.1,738.2,529.1,258.8,108.2,10.0,4.4,3165.1,68.2,939.2,2035.1,122.6
16,orissa,1915,15.4,21.4,37.3,25.2,74.5,165.1,239.4,313.0,270.8,149.2,125.6,0.0,1437.1,36.9,137.1,988.3,274.8
17,punjab,1915,28.7,59.8,48.3,9.3,4.3,22.5,54.1,67.4,105.5,19.3,0.0,2.4,421.7,88.5,61.9,249.6,21.7
18,rajasthan,1915,13.0,24.95,24.3,1.2,2.8,25.0,47.9,63.9,20.9,50.1,0.0,0.4,274.5,37.95,28.3,157.7,50.5
19,sikkim,1915,1.0,52.9,50.4,72.7,366.4,352.7,509.1,610.7,359.0,116.5,13.0,0.6,2504.9,53.9,489.5,1831.5,130.1
20,tamil nadu,1915,35.1,18.1,43.6,37.0,52.4,66.4,117.7,82.9,133.0,99.9,241.0,61.5,988.5,53.2,133.0,399.9,402.3
21,tripura,1915,13.9,35.5,89.4,198.9,448.9,465.2,478.0,510.5,310.4,231.1,37.7,0.4,2819.9,49.4,737.2,1764.1,269.2
22,uttar pradesh,1915,16.35,53.1,37.95,6.6,16.0,83.2,240.7,329.25,261.7,58.5,0.95,1.85,1106.15,69.45,60.55,914.8,61.35
23,uttarakhand,1915,32.4,126.3,101.0,40.6,57.2,129.8,370.2,539.9,178.3,12.9,0.0,12.6,1601.3,158.7,198.9,1218.2,25.6
24,bihar,1915,13.9,35.5,89.4,198.9,448.9,465.2,478.0,510.5,310.4,231.1,37.7,0.4,2819.9,49.4,737.2,1764.1,269.2
25,arunachal pradesh,1915,13.9,35.5,89.4,198.9,448.9,465.2,478.0,510.5,310.4,231.1,37.7,0.4,2819.9,49.4,737.2,1764.1,269.2
26,manipur,1915,13.9,35.5,89.4,198.9,448.9,465.2,478.0,510.5,310.4,231.1,37.7,0.4,2819.9,49.4,737.2,1764.1,269.2
27,mizoram,1915,13.9,35.5,89.4,198.9,448.9,465.2,478.0,510.5,310.4,231.1,37.7,0.4,2819.9,49.4,737.2,1764.1,269.2
28,nagaland,1915,13.9,35.5,89.4,198.9,448.9,465.2,478.0,510.5,310.4,231.1,37.7,0.4,2819.9,49.4,737.2,1764.1,269.2
